"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0029815146094","40.7453883799724","39.8207550211161","47.2189758700553","39.3280393523261","23.9279208283617","23.2400035043381","20.2732693887542","19.0030199716737","20.7582469526567","22.1614188089398","24.1458543956306","27.832108365994","30.4829978923981","28.1907438231723","27.3131979500115","22.1459814355134","18.1893569819725","14.2657295739767","14.6709007461363","19.7484153168252","22.5231882640131","27.5618114828439","28.3534851384818","28.5603816555446","29.7253912120334","33.7442798606396","38.2160456550464","39.3928940286073","41.3508013620849","29.7649869151934","35.9064399901267","50.0136476951451","58.1814554745072",
"American Samoa","ASM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.171875","97.9007633587786","90.3732809430255","99.6","100.405679513185","97.4903474903475","114.464285714286","78.5185185185185","63.5253054101222","58.7719298245614","75.46875","71.7868338557994","66.7185069984448","63.5958395245171","63.9344262295082","59.1503267973856","68.2316118935837","61.6692426584235","59.2233009708738","44.2666666666667","46.9575200918485","",
"Antigua and Barbuda","ATG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.504141999119","70.6912007913569","70.0199146232009","64.5718183599372","62.470548111624","69.2086423595831","41.9109250095166","46.9834793891329","54.689582143537","",
"Australia","AUS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","12.9717690964907","12.3819278479572","13.9194962896335","12.9835690515807","14.9122394240271","13.1979476566205","12.911163973423","12.861925609801","12.2770378992776","11.934784599884","12.9548841620377","12.639948479144","12.8044537230341","14.1308711360899","13.1291209701468","14.2586485158936","13.5012237846139","14.0006028918017","13.6067695939386","14.288721779185","16.4123555106528","14.8873049003006","13.5189386831346","13.5730576732203","13.5572756287263","15.2224038726937","14.972763898845","15.4578439897609","15.9533169835969","15.117778833752","15.1150866702084","16.0288066339049","16.6585946119625","17.539918193872","17.9723581312914","17.870669522392","18.8901429006237","19.127482417612","19.5575656778223","18.2947441891133","19.3902280759468","22.1523263999819","20.7266612553969","19.0572127285496","17.1624682179729","18.224372786193","19.8535392187758","20.1835039296691","20.1488773165122","23.0109850559796","19.7953665378444","21.4357865324171","21.4913928888391","19.9741128950954","21.0823313194078","20.0581264737037","19.2622259086547","21.228525081023","21.853558200255","24.1117883614814","23.9673727374511","21.9768193897174","25.4271241344048","26.7219864846082",
"Austria","AUT","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","27.3917563543096","27.0353542257839","26.9306663891193","26.9193669089196","29.1143695407296","28.0946362516507","28.7525268528866","27.9539568111061","29.1150923567311","30.8807755257532","31.6930715411788","33.000661339043","31.741496438195","30.4781985362749","32.7510176517733","34.9213218286284","31.997714792758","31.4062049613202","33.070925786466","35.0152028541185","35.6974143906097","34.5904881694804","33.1552677219512","31.4638980923504","32.1585339446652","33.5331403455378","34.2492761073574","37.0280827384957","38.351021186462","39.3570378852981","43.3462739519887","44.6175555179483","45.31938619858","44.57041471914","46.8672149740213","48.6197522046932","50.8416688618235","52.560869422371","53.2488606164087","45.2074165608437","51.2621603273359","53.9486708516394","53.9736761965302","53.4412932967224","53.3865790462424","53.0890605587958","52.4063936498056","54.0511531414978","55.4622191178234","55.7607848112938","51.5849469422098","55.9518373023172","62.0831749838848","59.4771858929176",
"Azerbaijan","AZE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8608458390177","45.6586826347305","86.2036057343209","57.4624203821656","24.7211102215105","32.4866435467242","24.9286393910561","29.0346072254061","22.6995291518921","27.9701199968213","40.1708314787732","41.4986078711716","42.7678350515464","42.0065766459106","48.7890084640454","62.9411060091835","66.5041448400209","68.1289116905555","65.7761378471842","51.6357456848728","54.3047215353821","56.4269805307016","52.9746801915106","48.4158330755216","43.2735566584935","37.7947774917249","46.4276493913136","48.547864732761","54.0922938620586","49.0506275016423","35.6235558660257","46.4887471674792","59.9868480668076","49.0453678900537",
"Burundi","BDI","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","12.4999996173469","12.9310349923561","13.1147537297961","7.51879705708956","14.0939592991307","10.3479635040849","10.7761598187395","10.8005897057881","10.2956955708047","9.65871537583368","10.68877683141","8.4357498971691","11.7344434462895","11.0161732039696","9.75339745122198","8.27564572417933","13.7264838813102","17.5956102292697","11.7076927839069","14.1626446403038","8.80938056475716","9.14335050943539","10.2119749972585","9.04558008305351","11.5040069052475","11.0266191611848","11.7232284021253","9.74490293553833","12.5907700508015","9.74574398986099","7.87299229412311","9.91737770059179","8.74918052248067","9.38196084636915","10.2717650485534","12.9263428540091","5.8203210186241","9.83547257876313","7.99975012493753","7.57575757575758","6.3189705942566","5.17920216470328","4.68580418118256","6.38141402548028","6.95274828690709","6.20000016552948","7.3","6.80000013631119","10.5000002616241","6.60000027378395","9.70000163931346","8.80000028373483","9.69609531952923","9.09525606883305","8.6960211937924","6.41727356534236","6.38452218976084","6.02657432870477","5.6856543143069","5.17203999926172","4.54932000033401","5.00028999994313","4.9710985076333","5.26338520550318",
"Belgium","BEL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","44.9562764917152","43.7674630949661","44.1372779894459","48.0319438554395","52.8933580553858","45.91603656753","48.5543828576666","47.5072502227347","45.761644179143","49.9224384979483","50.117280484132","54.0635220572788","58.1033118064771","60.3956265804625","64.4123516780532","62.4543274172181","57.2830498325525","55.8677630684447","59.4080832438795","63.5667489352734","61.6136909555393","60.2296548828746","58.8089303317393","56.1077411574797","58.4249593454229","60.1143717180605","61.1923909558718","64.7865810804479","64.1743450154283","64.5630595160862","72.5473951580567","71.6119589202939","70.8312976956765","69.0365085088844","70.906277447218","74.2828289213953","76.8049970552189","78.3018047028263","80.8806199752035","68.8340037082276","75.8500644792464","80.6973629124622","80.4044905064987","79.3243484015476","79.801009073623","77.8052821516798","79.4296154739536","83.1824102499921","83.0796294670067","82.3971820616943","78.6679063837031","87.9013984929375","95.7022354373412","86.6812302879311",
"Benin","BEN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","6.12391381286847","4.58348954869937","3.51782319655902","3.8213602129436","5.13733827248161","7.2675630638551","6.84654487020172","7.66582205030885","9.33464258694558","11.773219224993","15.1765798315404","17.7857985904456","14.3844022140076","15.6619756505168","14.3167561354656","14.528245927767","12.9912463096923","16.1789026141378","16.5250882129923","17.5163794748371","15.8165128794143","15.9305004610493","17.7710358297085","13.7642891939421","19.5793753212443","23.6526183539095","16.6759209455033","15.2675281201641","13.8037392116767","13.4954289813034","19.181303010653","21.0024860627473","23.2391480496458","22.4643830367555","28.3270186172953","27.3689425027528","26.4988115545834","27.1761345944549","27.0929395510065","23.0095307947819","20.6053025489554","19.8685788115524","19.726610778332","18.6442972500831","18.5135475659125","18.483639980467","18.057925712964","22.0428531154363","22.14072026628","19.9279668393882","23.0720480670551","20.8496515031216","23.8967368670133","27.570565319312","31.4308411236325","24.7204512110389","27.6067880711982","27.2055947818832","27.2742306189085","29.6305271935478","19.8724704276524","20.9188061754733","21.6532095498925","21.1934539892603",
"Burkina Faso","BFA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.86196544713728","5.42888603877752","5.53198369723123","5.57949208143702","2.7988361825163","4.65259654312259","5.05173084981366","4.92850623155942","6.20473814688316","5.8172137405641","5.45524023286333","5.51146751662156","6.39972719517896","6.31179758031174","8.32076317273408","7.34825434792999","8.20525244540593","7.9602668654066","7.46841921604806","8.24613438701797","8.95052102371656","9.27641060746417","8.19571612776259","7.88414939830604","10.960913625855","9.92146469411376","8.99056313376556","11.3588168034253","10.9987001866015","8.74886259200754","10.9666914119517","10.4475484424359","8.8464803686211","8.95154328138584","14.2016211454196","14.1405565399915","10.5636052055707","10.8125309984677","12.8081030220056","8.35400550573099","8.8447174852677","9.0440827674193","8.86536563219181","9.22043165840572","10.8815873012951","9.84184747809064","10.9568635027021","10.3485422167992","10.1493270523848","13.7889708614234","20.5158488554008","26.1955005196271","26.5980854179657","27.0769854530325","26.932004154154","26.1076455357024","25.915964804251","26.4523856350501","28.0789061419219","29.2576956603939","31.776865693981","32.8877100455377","31.5344130182468","28.8555651853557",
